visit,frmid,fov,date_obs,tai_s,boresight_ra_deg,boresight_dec_deg,roll_deg,mars_ra_deg,mars_dec_deg,offset_arcsec,offset_east_arcsec,offset_north_arcsec,offset_across_slit_arcsec,offset_along_slit_arcsec,t_min
Visit7,5144,5x5MR,2025-02-17T04:43:56.000,793082673.0,108.929428,26.224606,168.084221,108.93061461889894,26.22160970485038,11.447167043720814,3.8321231364431334,-10.78666253863787,-5.976710796076495,9.763000794600963,2.75
Visit7,5145,5x5MR,2025-02-17T04:46:41.000,793082838.0,108.930378,26.223066,168.081283,108.93042118215311,26.221578311162176,5.357494282763942,0.1394563317961184,-5.355679816163672,-1.2425253649235688,5.211418720392992,5.5
Visit7,5146,5x5MR,2025-02-17T04:49:26.000,793083003.0,108.930224,26.221842,168.086257,108.93022779805727,26.221546909594924,1.0623983817455882,0.012265917078227367,-1.0623254582696973,-0.2313069863904943,1.0369102709765392,8.25
Visit7,5147,5x5MR,2025-02-17T04:52:11.000,793083168.0,108.928542,26.214945,168.084552,108.9300344666114,26.221515500148687,24.139919008690995,4.820242454404621,23.65380053527275,0.16737054374020577,-24.139366275501153,11.0
Visit7,5148,5x5MR,2025-02-17T04:54:56.000,793083333.0,108.929429,26.221702,168.081413,108.92984118782552,26.22148408282342,1.5451423260087964,1.3311720709923063,-0.7845018356917421,-1.4644912967276609,0.492673781119508,13.75
Visit7,5149,5x5MR,2025-02-17T04:57:41.000,793083498.0,108.929619,26.224127,168.083196,108.92964796169964,26.22145265762014,9.628086725628322,0.09353066634381424,-9.627632567490707,-2.079535941025786,9.400829065041894,16.5
Visit7,5150,5x5MR,2025-02-17T05:00:26.000,793083663.0,108.930644,26.222581,168.080028,108.92945478822375,26.22142122453887,5.672945634926527,-3.84056355653502,-4.175191660078781,2.8953836255912964,4.878412394502347,19.25
Visit7,5151,5x5MR,2025-02-17T05:03:11.000,793083828.0,108.929671,26.223759,168.084036,108.92926166739785,26.22138978358156,8.631015603577964,-1.32192767117078,-8.529179106385243,-0.46763562217372856,8.618335449579563,22.0
Visit7,5152,5x5MR,2025-02-17T05:05:55.000,793083992.0,108.929742,26.222789,168.08154,108.92906976918417,26.221358525369933,5.588617945511889,-2.1709678696528094,-5.1497086682374515,1.0606522834210699,5.487040877600464,24.733333333333334
Visit7,5153,5x5MR,2025-02-17T06:14:41.000,793088118.0,108.923222,26.223597,168.082628,108.92425900577116,26.220569555658056,11.401746878233489,3.348984483743861,-10.898799631004863,-5.527413356482581,9.972323302807968,93.5
Visit7,5154,5x5MR,2025-02-17T06:17:26.000,793088283.0,108.922434,26.221358,168.081441,108.92406730641504,26.220537902229463,6.044861368882705,5.274824189019311,-2.9523519739285575,-5.770833335655793,1.799342939827457,96.25
Visit7,5155,5x5MR,2025-02-17T06:20:11.000,793088448.0,108.922573,26.221144,168.08217,108.92387565968886,26.220506240939862,4.792725562848468,4.2069959524004465,-2.29593261649228,-4.590443194584251,1.3776620776815922,99.0
Visit7,5156,5x5MR,2025-02-17T06:22:56.000,793088613.0,108.921176,26.222057,168.08012,108.92368406561266,26.220474571789225,9.902585679017369,8.099843082383659,-5.696741558787721,-9.101815246970943,3.9009334212294378,101.75
Visit7,5157,5x5MR,2025-02-17T06:25:41.000,793088778.0,108.921586,26.220258,168.082876,108.9234925241765,26.22044289477762,6.193117679545078,6.157249393907366,0.665621199425459,-5.887095595564575,-1.9227264830394866,104.5
Visit8,5209,5x5MR,2025-03-02T05:45:26.000,794209563.0,108.793365,25.848626,170.074166,108.7970427488494,25.847455394941573,12.638570082687854,11.915232012243374,-4.214178210335717,-12.463292930946015,2.0972317972719954,0.0
Visit8,5210,5x5MR,2025-03-02T05:48:11.000,794209728.0,108.786088,25.849617,170.076381,108.79718923500074,25.847379959074363,36.856612961973696,35.96566477839307,-8.05334733228733,-36.81543478073625,1.7347069238227952,2.75
Visit8,5211,5x5MR,2025-03-02T05:50:56.000,794209893.0,108.795603,25.848827,170.067332,108.79733576689212,25.847304517760122,7.845778029525243,5.613837512638705,-5.480936063560193,-6.475103230354359,4.43044804815481,5.5
Visit8,5212,5x5MR,2025-03-02T05:53:41.000,794210058.0,108.795058,25.846204,170.066529,108.79748234451347,25.84722907099987,8.678253317800081,7.854592602846692,3.690255599529735,-7.100256324964946,-4.9898869191946424,8.25
Visit8,5213,5x5MR,2025-03-02T05:56:26.000,794210223.0,108.794094,25.848794,170.072037,108.79762896786478,25.84715361879262,12.885574107859258,11.452631529905577,-5.905372346569493,-12.299276215101717,3.842394578390963,11.0
Visit9,5253,5x5MR,2025-03-30T03:13:01.000,796619618.0,114.944858,24.208679,-10.06774,114.94268054165737,24.208637682073654,7.151033830702959,-7.14948597589054,-0.14874453484594596,-7.01339410991549,-1.3962727939427726,0.0
